gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,문래동,30238,32907,38107,60746,64958,49945,37965,36937
2024,문정1동,11383,14896,32739,37914,29607,33636,34536,22434
2024,문정2동,15056,16175,50205,81086,49761,38163,34707,31761
2024,미성동,13545,21733,46453,45457,43410,52358,52683,45901
2024,미아동,5794,12119,38045,29317,28142,38639,39191,36335
2024,반포1동,31073,45259,43151,54649,78166,53493,34875,31265
2024,반포2동,25708,42967,25866,25789,53752,45293,26421,26340
2024,반포3동,19731,36160,28783,28243,48075,48327,27229,25728
2024,반포4동,15574,22963,22600,25384,35812,34141,24794,22527
2024,반포본동,181,280,310,176,488,503,251,283
2024,발산제1동,24372,52584,46701,41618,68563,67189,48694,39674
2024,방배1동,9767,14091,23610,29294,29535,27461,23120,24110
2024,방배2동,9901,16523,24827,29445,29605,31368,29294,26821
2024,방배3동,11513,17952,19498,20412,27621,28713,25211,22527
2024,방배4동,13377,28571,30604,34640,43618,41464,28549,28766
2024,방배본동,12640,29072,26530,24372,38941,38617,26490,24927
2024,방이1동,9532,15935,22028,23876,26009,27887,23589,17264
2024,방이2동,9627,11850,56339,73079,40010,37057,34617,26888
2024,방학제1동,12201,22003,37424,33423,40184,55574,54568,46778
2024,방학제2동,6776,13123,22676,21555,24932,38514,38426,35332
2024,방학제3동,15520,27629,29672,30945,40201,48872,52957,39589
2024,방화제1동,32301,46936,48936,63827,76576,71171,67010,51543
2024,방화제2동,10434,13585,32663,42167,32979,37295,41718,38249
2024,방화제3동,11123,14567,21425,36511,34851,35714,43117,42826
2024,번1동,4858,9053,29947,26443,25896,30558,27721,27278
2024,번2동,5101,8908,19380,17279,20900,27530,29859,33217
2024,번3동,6905,12213,17933,17540,22382,30295,29745,40905
2024,보광동,1973,4425,11567,14196,12185,16671,16328,13994
2024,보라매동,9418,13967,47604,45471,33289,36380,37183,36066
2024,보문동,10195,10767,28773,30487,25148,29577,22852,19637
2024,부암동,4157,8710,11669,12859,15064,17882,15082,14223
2024,북가좌제1동,12136,20909,20164,23404,32237,33056,26375,24139
2024,북가좌제2동,12346,22955,46440,44898,46310,57249,53559,50814
2024,북아현동,14042,10716,21045,30913,27436,27490,21085,17432
2024,불광제1동,19261,25673,51743,58922,56570,70300,66678,62829
2024,불광제2동,8282,15473,41203,41692,36701,50783,50835,48309
2024,사근동,3400,8621,53758,18000,11343,14248,10966,12255
2024,사당제1동,6395,8763,55123,53184,30903,30574,32619,29418
2024,사당제2동,18033,19173,37490,48488,45241,49507,45214,45272
2024,사당제3동,18331,17222,31971,40019,39103,38467,38112,36355
2024,사당제4동,5776,7353,25351,26044,20430,21904,22697,21754
2024,사당제5동,9124,9618,21400,28137,23299,23712,21025,18727
2024,사직동,4860,6984,11429,15792,15486,16106,13865,14410
2024,삼각산동,23680,41232,35640,34598,59964,62080,40436,36778
2024,삼선동,8382,17799,45677,33606,31906,41630,31699,31682
2024,삼성1동,7023,12103,16630,18828,20659,21921,18289,16784
2024,삼성2동,20832,38589,41712,51467,66657,55603,28915,31626
2024,삼성동,6348,11996,22511,23881,26347,39695,43786,42463
2024,삼양동,10583,17243,30267,29201,33760,46340,42143,38965
2024,삼전동,11309,18782,50963,70036,50427,45639,40472,30289
2024,삼청동,901,1754,2619,3179,3407,3723,4206,4765
